"","Start.Date","End.Date","When.Taking.Survey","First.Time","Status","Status.Other","Department","Discipline","Discipline.Other","OS","With.Friend","Programming.Usage","Current.Tools.1","Current.Tools.2","Current.Tools.3","Current.Tools.4","Current.Tools.5","Current.Tools.6","Current.Tools.7","Have.Dataset","Data.Management.Strategy","Data.Analysis.Workflow","Data.Organization","Using.Scripting.Language","Using.R.or.Python","Value.of.SQL.or.Python","Hope.to.Learn","Workshop.in.US","Age","Gender","Gender.Other","Race","Race.Other","year.survey"
"1","8/1/17 15:34","8/1/17 16:37","I am taking this survey before coming to the workshop","Yes","Post-doc","","Environmental Engineering","Physics","","Linux","Yes","Several times a year","Excel or other spreadsheet program","Python","MATLAB","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Agree","SQL, R, Genomics database ","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"2","8/1/17 12:06","8/1/17 12:11","I am taking this survey before coming to the workshop","Yes","Staff","","Synthetic Biology","Life Science ","","Not sure","Yes","Several times a year","SQL","Python","","","","","","I am working on generating data","Not sure","Not sure","Agree","Agree","Agree","Agree","n/a","Yes","45-54","Male",NA,"Asian / Pacific Islander","","2017"
"3","8/1/17 6:23","8/1/17 6:36","I am taking this survey before coming to the workshop","Yes","Other","Post-graduate student & Research Psychology Intern","Psychology","Humanities","","Windows","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","I want to learn all about more effective data management.","No","","No Answer",NA,"No Answer","","2017"
"4","8/1/17 2:13","8/1/17 2:23","I am taking this survey before coming to the workshop","No","Other","principle research associate","Ecology, Climate and Ecosystem division","Life Science ","","Apple OS","Yes","Weekly","Excel or other spreadsheet program","R","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Neutral","Neutral","Agree","Agree","Agree","Agree","R interacting with SQL or R interacting with Git","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
"5","8/1/17 2:08","8/1/17 2:08","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"6","7/31/17 19:28","7/31/17 19:40","I am taking this survey before coming to the workshop","Yes","Staff","","JGI","Computer Science","","Apple OS","No","Daily","Excel or other spreadsheet program","SQL","R","Python","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I am a self-taught computer scientist and would like to develop a stronger background in bioinformatics. I hope to understand better some of the basics to continuing improving my computational skills. ","Yes","35-44","Male",NA,"White / Caucasian","","2017"
"7","7/31/17 19:24","7/31/17 19:27","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Molecular Foundry","Life Science ","","Windows","Not sure","Several times a year","Excel or other spreadsheet program","Python","MATLAB","","","","Excel or other spreadsheet program","I do not have data yet","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"8","7/31/17 18:59","7/31/17 19:05","I am taking this survey before coming to the workshop","Yes","Staff","","BioScience","Life Science ","","Apple OS","Not sure","Weekly","Python","","","","","","","I do not have data yet","Neutral","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Data management. Data visualization and scripting language ","Yes","35-44","Male",NA,"Asian / Pacific Islander","","2017"
"9","7/31/17 18:40","7/31/17 18:43","I am taking this survey before coming to the workshop","Yes","Faculty","","CRD","Computer Science","","Apple OS","Not sure","Several times a year","","","","","","","","I do not have data yet","Neutral","Neutral","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","What the gnome data looks like? How to analyze it. ","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"10","7/31/17 17:24","7/31/17 17:29","I am taking this survey before coming to the workshop","No","Staff","","Materials Science ","Engineering","","Apple OS","No","Weekly","Excel or other spreadsheet program","MATLAB","","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Disagree","Specifically wants to learn R (or programming language) for applications in both simulations, data modelling and dynamic monitoring of data.","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
