When-Taking-Survey,First-Time,Status,Status-Other,Department,Research,Field,OS,With-Friend,Programming-Usage,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
1,1,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,nuclear physics,12 ,"experimental nuclear physics, extensive data-sets analysis and modeling in C++",1,3,5,          C++,4,3,3,4,5,5,3,Gain working knowledge of R and SQL,2
1,1,3,,Edinburgh College of Art,7 ,"Develop numerical simulations of an integrated vibroacoustic transduction system, with accompanying electronics, to assist in the design and fabrication of a real, working microelectromechanical device.",1,2,6, 2    7    ,3,3,3,5,4,3,3,Learn enough to self-teach me how to manage and analyse data.,2
1,1,0,Post-graduate (not student),Botany,10 ,Using existing collections and field data from the Middle East and Central Asia to research botanical diversity in these regions. Applications of these data to development programs. Potential of crowd sourcing and open data to improve biodiversity science in under-researched regions with low scientific and research capacity.,3,2,5, 2345      ,2,3,4,5,5,5,5,"Experience in using Open Refine (frequently heard of, never tried personally), best practice in R, additional SQL tips.",2
1,1,2,,Evolutionary genetics (Molecular Plant Sciences),9 ,PhD project on the genetics underlying speciation events in the tropical genus Begonia- Does a dynamic genome drive speciation in a mega-diverse plant genus?,3,2,2, 2      9  ,4,3,3,4,5,4,3,Develop a more efficient and organized way of dealing with large amounts of data ,2
1,1,3,,Nuerobiology,2 ,"I work now at Proteomics Facility generating Quantitative proteomics, PTM and data.",3,2,1, 2        Mostly Proteomics and Mass spec software,3,4,4,4,4,4,4,Introduction to R and its utilities in genomic data analysis,2
1,1,6,,Animal Veterinary Sciences,9 ,Researching national databases,3,2,6, 2 4       ,3,4,4,5,4,4,4,To work more efficiently.  Learn tips and tricks in software I am already using.  Learn about new software which may aid data manipulation and analysis,2
1,1,2,,Cell and Molecular Biology,9 ,We study DNA double-strand break repair in bacteria using next generation sequencing techniques.,1,1,4, 2  56  9  ,2,3,3,5,5,5,4,"Data management in SQL, visualization with R",2
2,1,2,,African studies,8 ,solutions to conflicts in Africa through diplomacy by the African Union.,3,1,1, 2         ,3,3,3,4,3,3,3,how to easily classify and analyze data,1
1,1,2,,Population Health Sciences,13 ,Epidemiology about Antimicrobial Resistance,3,2,1," 2        SAS, SPSS",3,2,2,5,4,4,4,,2
2,1,2,,Geography and Geo-Information Sciences, Energy,Renewable Energy,3,1,2,          SPSS,2,2,2,5,4,3,3,How to analyse data efficiently and effectively,2
1,,,,,  ,,,,,           ,,,,,,,,,
2,1,2,,Environmental Sciences, Energy,Renewable energy,3,1,,           ,,,,,,,,,
2,2,2,,Geography and GIS, Human Geography,Human induced environmental challenges,3,1,1, 2         ,2,3,3,4,4,4,4,To be a good user of R,2
2,1,2,,African Studies,8 ,diplomacy in solution of conflicts in Sudan and South Sudan,3,1,,           ,,,,,,,,,
2,1,4,,Human Resource Management & Labour Relations, Industrial/Organisational Psychology,Leadership and entrepreneurship ,1,2,7,         10 ,2,4,4,5,3,3,3,,2
1,1,2,,Hydrology,5 ,Contaminant hydrogeology,3,3,2, 2         ,4,4,4,5,4,3,3,How to use R to analyse my data,2
1,1,2,,Mining and Environmental Geology,5 ,Coal Characterisation,3,3,7, 2         ,3,3,3,5,5,4,3,,2
1,1,1,,industry engineering,4 ,,3,3,,           ,,,,,,,,,
1,1,1,,MINING AND ENVIRONMENTAL GEOLOGY,5 ,,3,1,1,         10 ,2,1,1,5,5,5,5,Learn ho to draw beautiful graphs,2
1,1,1,,geology, geology,I an a second year student and I liked the open day presentations  and liked to joint the workshop and join the ywp programme,4,1,7,           ,4,,,,,,,I hope to learn data analysis programmes and how to play around about data  ,1
