When-Taking-Survey,Information,Atmosphere,Skills,Material,Recommend,Worth,Pace,Balance,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Communicators,Instructors-Enthusiastic,Helpers-Clear-Answers,Helpers-Considerate,Helpers-Communicators,Helpers-Enthusiastic,Enough-Helpers,New-Information,Unix-Shell-Pre,Unix-Shell-Perception,Git-Pre,Git-Perception,Python-Pre,Python-Perception,R-Pre,R-Perception,SQL-Pre,SQL-Perception,Unix-Shell-Knowledge-Increase,Unix-Shell-Intimidating,Git-Knowledge-Increase,Git-Intimidating,Python-Knowledge-Increase,Python-Intimidating,R-Knowledge-Increase,R-Intimidating,SQL-Knowledge-Increase,SQL-Intimidating,After-Unix-Shell-Motivation,After-Git-Motivation,After-Python-Motivation,After-R-Motivation,After-SQL-Motivation,Pipes-Before-Workshop,Pipes-After-Workshop,Loops-Before-Workshop,Loops-After-Workshop,"Git-Repo-Before-Workshop
",Git-Repo-After-Workshop,Function-Before-Workshop,Function-After-Workshop,Import-Library-Before-Workshop,Import-Library-After-Workshop,Unit-Test-Before-Workshop,Unit-Test-After-Workshop,SQL-Query-Before-Workshop,SQL-Query-After-Workshop,Status,Status-Other,Research-Domain-1,Research-Domain-2,Research-Domain-3,Research-Domain-4,Research-Domain-5,Research-Domain-6,Research-Domain-7,Research-Domain-8,Research-Domain-9,Research-Domain-10,Research-Domain-11,Research-Domain-12,Research-Domain-13,Research-Domain-14,Research-Domain-15,Research-Domain-16,Research-Domain-Other,Workshop-in-US,Likely-to-Recommend
Response,The amount of information covered at the workshop was reasonable for allotted time,The overall atmosphere of the workshop was welcoming,I learned skills that I will be able to use in my research/work,The material presented matched the workshop description,I would recommend this workshop to a friend/colleague,The workshop was worth my time,Response,Response,Instructors gave clear answers to your questions,Instructors were considerate,Instructors were good communicators,Instructors were enthusiastic,Helpers gave clear answers to your questions,Helpers were considerate,Helpers were good communicators,Helpers were enthusiastic,Response,Response,Unix Shell - Pre-workshop knowledge,Unix Shell - Perception about this topic,Git (version control) - Pre-workshop knowledge,Git (version control) - Perception about this topic,Python - Pre-workshop knowledge,Python - Perception about this topic,R - Pre-workshop knowledge,R - Perception about this topic,SQL - Pre-workshop knowledge,SQL - Perception about this topic,Unix Shell - Did your knowledge increase?,Unix Shell - Is this topic more or less intimidating?,Git (version control) - Did your knowledge increase?,Git (version control) - Is this topic more or less intimidating?,Python - Did your knowledge increase?,Python - Is this topic more or less intimidating?,R - Did your knowledge increase?,R - Is this topic more or less intimidating?,SQL - Did your knowledge increase?,SQL - Is this topic more or less intimidating?,Unix shell,Git (version control),Python,R,SQL,Use pipes to connect shell commands - Could you do this before the workshop?,"Use pipes to connect shell commands - After the workshop, what is your level of confidence?",Write a 'for loop' to automate a task - Could you do this before the workshop?,"Write a 'for loop' to automate a task - After the workshop, what is your level of confidence?",Initialize a repository with git - Could you do this before the workshop?,"Initialize a repository with git - After the workshop, what is your level of confidence?",Write a function - Could you do this before the workshop?,"Write a function - After the workshop, what is your level of confidence?",Import a library or package (Python or R) - Could you do this before the workshop?,"Import a library or package (Python or R) - After the workshop, what is your level of confidence?",Write a unit test (Python or R) - Could you do this before the workshop?,"Write a unit test (Python or R) - After the workshop, what is your level of confidence?",Write an SQL query - Could you do this before the workshop?,"Write an SQL query - After the workshop, what is your level of confidence?",Response,Other (please specify),Chemistry,"Civil, mechanical, chemical, or nuclear engineering",Economics/business,Education,High performance computing,Humanities,"Life Sciences (Genetics, genomics, bioinformatics )","Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",Library and information science,Mathematics/statistics,Medicine and/or Pharmacy,Physics,"Planetary sciences (geology, climatology, oceanography, etc.)",Psychology,Social sciences,Space sciences,Other (please specify),Response,
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Slightly too much hands-on,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Not very intimidating,,,,,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a little,No change - (Not less or more intimidating),N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,More motivated,More motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased greatly,Maybe,Confidence increased a bit,No,Confidence increased slightly,No,Confidence increased greatly,Yes,No change in confidence,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,,,,,,,,,,,,materials science and engineering,Yes,10
"I have recently completed the workshop, and am taking it after I left the event",Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Some of it,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,N/A or No opinion,Extensive knowledge of topic,Not very intimidating,Little or no knowledge of topic,N/A or No opinion,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,No change in motivation,More motivated,N/A - Topic not covered,Much more motivated,N/A - Topic not covered,Yes,Confidence increased greatly,Yes,No change in confidence,Yes,Confidence increased greatly,Yes,Confidence increased a bit,Yes,No change in confidence,Yes,Confidence increased greatly,No,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,,,,,,,,"Planetary sciences (geology, climatology, oceanography, etc.)",,,,,No,9
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,,N/A or No opinion,,,Knowledge increased a little,Became much less intimating,Knowledge increased slightly,Became much less intimating,Knowledge increased a little,Became much less intimating,N/A - Not covered at this workshop,,N/A - Not covered at this workshop,,Much more motivated,Much more motivated,Much more motivated,,,No,Confidence increased slightly,Yes,Confidence increased greatly,No,Confidence increased slightly,Yes,Confidence increased greatly,No,Confidence increased slightly,,,,,Post-doctoral researcher,,,,,,,,,,,,Medicine and/or Pharmacy,,,,,,neuroscience,Yes,10
"I have recently completed the workshop, and am taking it after I left the event",Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),Often,Often,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,N/A or No opinion,Some knowledge of topic,Not very intimidating,,N/A or No opinion,,N/A or No opinion,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,,,,,More motivated,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,No change in confidence,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased a bit,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )","Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,Yes,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Very intimidating to me,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,No increase in my knowledge,No change - (Not less or more intimidating),No increase in my knowledge,No change - (Not less or more intimidating),More motivated,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased greatly,Yes,Confidence increased slightly,No,Confidence increased a bit,Yes,Confidence increased slightly,Yes,No change in confidence,Yes,Confidence increased slightly,No,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,Yes,8
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,Sometimes,Often,Often,Often,Sometimes,Yes,Some of it,Extensive knowledge of topic,,Some knowledge of topic,,Some knowledge of topic,,Extensive knowledge of topic,,Little or no knowledge of topic,,No increase in my knowledge,,Knowledge increased slightly,,Knowledge increased slightly,,,,,,No change in motivation,More motivated,More motivated,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,Post-doctoral researcher,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,Yes,10
"I have just completed the workshop, and am taking it at the event",Strongly Agree,Agree,Agree,,Strongly Agree,Agree,Slightly slow,Slightly too much lecture,Often,Often,Often,All of the time,Sometimes,Often,Often,Sometimes,Yes,About half of it,Little or no knowledge of topic,Very intimidating to me,Some knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Very intimidating to me,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became much less intimating,Knowledge increased slightly,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,No change in motivation,More motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased greatly,Yes,Confidence increased slightly,Maybe,Confidence increased greatly,Yes,Confidence increased slightly,Yes,No change in confidence,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Graduate Student,,,,,,,,,,,,,,,,,,Bioengineering,Yes,8
"I have just completed the workshop, and am taking it at the event",Agree,Agree,Agree,Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,Often,Often,Often,Often,Sometimes,Sometimes,Yes,All of it,Some knowledge of topic,Very intimidating to me,Some knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Some knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased a bit,No,Confidence increased a bit,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,Yes,10
"I have just completed the workshop, and am taking it at the event",Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Very intimidating to me,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Knowledge increased slightly,Became slightly less intimidating,More motivated,More motivated,Much more motivated,No change in motivation,No change in motivation,No,Confidence increased slightly,Maybe,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,Maybe,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased slightly,Post-doctoral researcher,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,Yes,10
