When-Taking-Survey,First-Time,Research,Status,Status-Other,Involvement,Practical-Knowledge,Organize-Data,Use-OpenRefine,Import-Python,Import-R,Visualizations-in-Python,Visualizations-in-R,Construct-SQL,Use-command-line,Skill-Level-Prior,Skill-Level-Following,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Application,Worth-My-Time,Material,Recommend,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Effective,Instructors-Enthusiastic,Workshop-in-US
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Enthusiastically involved,Some practical knowledge,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly disagree,High,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Environmental Sciences ,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Materials Science,Graduate student,,Very involved,Some practical knowledge,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neither high nor low,About the same,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Always,Always,Usually,Most of the time,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Auditing,Graduate student,,Very involved,Some practical knowledge,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Auditing,Graduate student,,Very involved,Some practical knowledge,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Social Science,Graduate student,,Somewhat involved,Some practical knowledge,Neutral,Neutral,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Neutral,Neutral,Disagree,Very low,Somewhat higher,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Usually,Most of the time,,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Health Promotion,Staff,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly disagree,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,,Graduate student,,Somewhat involved,Some practical knowledge,Disagree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,Neutral,NA/Not covered at this workshop,Neither high nor low,About the same,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Usually,Most of the time,Most of the time,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Psychology,Post-doc,,Very involved,Some practical knowledge,Strongly Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,Neutral,Agree,Neither high nor low,Somewhat higher,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Always,Always,Always,Always,no
"I have just completed the workshop, and am taking it at the event",yes,Water Studies ,Faculty,,Enthusiastically involved,Some practical knowledge,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Low,Somewhat higher,Agree,Agree,Agree,,Neutral,Agree,Agree,Strongly agree,Most of the time,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Plant Ecology,Graduate student,,Very involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,High,Somewhat higher,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Most of the time,Always,Most of the time,Most of the time,no
