When-Taking-Survey,Information,Atmosphere,Skills,Material,Recommend,Worth,Pace,Balance,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Communicators,Instructors-Enthusiastic,Helpers-Clear-Answers,Helpers-Considerate,Helpers-Communicators,Helpers-Enthusiastic,Enough-Helpers,New-Information,Unix-Shell-Pre,Unix-Shell-Perception,Git-Pre,Git-Perception,Python-Pre,Python-Perception,R-Pre,R-Perception,SQL-Pre,SQL-Perception,Unix-Shell-Knowledge-Increase,Unix-Shell-Intimidating,Git-Knowledge-Increase,Git-Intimidating,Python-Knowledge-Increase,Python-Intimidating,R-Knowledge-Increase,R-Intimidating,SQL-Knowledge-Increase,SQL-Intimidating,After-Unix-Shell-Motivation,After-Git-Motivation,After-Python-Motivation,After-R-Motivation,After-SQL-Motivation,Pipes-Before-Workshop,Pipes-After-Workshop,Loops-Before-Workshop,Loops-After-Workshop,Git-Repo-Before-Workshop,Git-Repo-After-Workshop,Function-Before-Workshop,Function-After-Workshop,Import-Library-Before-Workshop,Import-Library-After-Workshop,Unit-Test-Before-Workshop,Unit-Test-After-Workshop,SQL-Query-Before-Workshop,SQL-Query-After-Workshop,Status,Status-Other,Research-Domain,Gender,Above-18,Workshop-in-US,Likely-to-Recommend
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Sometimes,All of the time,All of the time,All of the time,Yes,Some of it,Extensive knowledge of topic,Not at all intimidating,Extensive knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not at all intimidating,,Not very intimidating,,Not very intimidating,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a little,Became slightly less intimidating,Knowledge increased a great deal,No change - (Not less or more intimidating),N/A - Not covered at this workshop,,N/A - Not covered at this workshop,,No change in motivation,No change in motivation,More motivated,N/A - Topic not covered,N/A - Topic not covered,Yes,Confidence increased slightly,No,Confidence increased a bit,Yes,No change in confidence,No,Confidence increased greatly,No,Confidence increased a bit,No,No change in confidence,,,Research staff (including research programmer),,"   High performance computing  Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,Yes,8
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Often,Often,Often,Often,Yes,About half of it,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Not at all intimidating,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Very intimidating to me,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased slightly,No change - (Not less or more intimidating),N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,Much more motivated,No change in motivation,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased greatly,Yes,No change in confidence,No,Confidence increased greatly,Maybe,Confidence increased greatly,Yes,No change in confidence,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Male,Yes,Yes,6
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Just right,Slightly too much lecture,Often,All of the time,Often,Often,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Little or no knowledge of topic,,Little or no knowledge of topic,,Some knowledge of topic,,Some knowledge of topic,,Little or no knowledge of topic,,Knowledge increased a great deal,,Knowledge increased a great deal,,Knowledge increased a little,,No increase in my knowledge,,N/A - Not covered at this workshop,,More motivated,Much more motivated,More motivated,No change in motivation,N/A - Topic not covered,No,No change in confidence,Maybe,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased a bit,Yes,No change in confidence,No,No change in confidence,No,N/A - Not covered at workshop,Graduate Student,,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,Yes,8
"I have recently completed the workshop, and am taking it after I left the event",Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Slightly fast,Too much lecture,Sometimes,All of the time,Sometimes,Often,Sometimes,All of the time,Sometimes,Often,Yes,About half of it,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Neither intimidating nor unintimidating,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a little,No change - (Not less or more intimidating),N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,No change in motivation,Less motivated,N/A - Topic not covered,No,Confidence increased greatly,Yes,Confidence increased a bit,No,Confidence increased greatly,Yes,No change in confidence,Yes,Confidence increased a bit,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Research staff (including research programmer),,"           Planetary sciences (geology, climatology, oceanography, etc.)    ",Prefer not to say,Yes,Yes,3
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,All of the time,Often,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,,Little or no knowledge of topic,,,,Little or no knowledge of topic,,,,Knowledge increased a great deal,,Knowledge increased a great deal,,,,No increase in my knowledge,,,,More motivated,More motivated,N/A - Topic not covered,Less motivated,N/A - Topic not covered,No,Confidence increased a bit,No,Confidence increased slightly,No,Confidence increased greatly,No,N/A - Not covered at workshop,No,No change in confidence,No,No change in confidence,,,Graduate Student,,               Public health,Female,Yes,Yes,6
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,Some knowledge of topic,Not very intimidating,,,,,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became much less intimating,Knowledge increased a great deal,Became much less intimating,,,,,More motivated,More motivated,More motivated,,,No,Confidence increased a bit,Yes,No change in confidence,No,Confidence increased greatly,Yes,Confidence increased a bit,Yes,Confidence increased a bit,Yes,Confidence increased greatly,,,Graduate Student,,"Chemistry      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)   Medicine and/or Pharmacy Physics     Materials",Male,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,Some knowledge of topic,Not very intimidating,,,,,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,,,,,More motivated,More motivated,Much more motivated,,,No,Confidence increased a bit,Yes,Confidence increased greatly,No,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,No,Confidence increased greatly,,,Other (please specify),PhD student,               Biomedical Engineering,Female,Yes,No,9
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Too fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased slightly,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased a bit,No,N/A - Not covered at workshop,Graduate Student,,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,No,9
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Slightly too much hands-on,Often,Often,Often,Often,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Slightly intimidating to me,,,,,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased a bit,Yes,Confidence increased greatly,No,Confidence increased greatly,Yes,Confidence increased greatly,No,Confidence increased greatly,,N/A - Not covered at workshop,,N/A - Not covered at workshop,Other (please specify),PhD student,"Chemistry      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,,Yes,All of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,More motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,N/A - Not covered at workshop,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,No,7
