When-Taking-Survey,First-Time,Status,Status-Other,Department,Discipline,Discipline-Other,OS,With-Friend,Programming-Usage,Column4,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not sure,Not sure,Neutral,Agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Biology,"Life science (biology, genetics)",,Windows,Yes,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Biomedical Science,Brain and neurosciencse,,Apple OS,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R",I am working on generating data.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Interested in learning more about data analysis pipelines for genomics,Yes
I am taking this survey before coming to the workshop,No,Faculty,,,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,Basic sequencing data wrangling and analysis,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics and Genome Sciences,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,"Life science (biology, genetics)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,Python,MATLAB",I am working on generating data.,Not sure,Not sure,Agree,Agree,Agree,Disagree,Analyze RNA seq data and become better at using python/R,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Undecided,"Life science (biology, genetics)",,Windows,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Be more familiar with workflows and types of data analysis.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular Genetics,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Agree,Agree,Neutral,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular ecology,"Life science (biology, genetics)",,Apple OS,Yes,Not sure,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
